NIL,Travellers
17.0,8
80.0,14
55.0,11
52.0,19
46.0,4
15.0,8
77.0,5
81.0,4
2.0,7
83.0,5
21.0,15
47.0,1
73.0,1
10.0,8
34.0,0
22.0,10
82.0,2
25.0,4
58.0,5
79.0,5
1.0,4
37.0,5
78.0,3
63.0,0
56.0,7
65.0,11
9.0,4
70.0,5
49.0,10
3.0,0
41.0,2
13.0,6
4.0,4
11.0,9
23.0,2
35.0,15
53.0,3
20.0,26
12.0,14
7.0,6
72.0,3
30.0,7
54.0,1
44.0,8
14.0,13
29.0,1
19.0,15
68.0,6
87.0,0
88.0,0
86.0,0
85.0,1
24.0,1
18.0,6
31.0,2
84.0,0
8.0,0
27.0,7
67.0,4
66.0,3
61.0,2
76.0,15
62.0,0
39.0,0
38.0,7
33.0,5
40.0,0
48.0,3
45.0,0
60.0,6
74.0,0
69.0,5
36.0,2
57.0,12
42.0,10
75.0,0
43.0,4
6.0,9
50.0,4
59.0,1
64.0,2
32.0,0
28.0,9
16.0,15
5.0,6
71.0,14
51.0,19
26.0,13
101.0,41
102.0,17
103.0,22
104.0,101
105.0,5
999.0,409
