stop_name,stop_lat,stop_lon,stop_id,mxp_node,mode
MILANO BOVISA FNM,45.502682,9.159492,3686,4150,TRAIN
MILANO PORTA GARIBALDI,45.484462,9.187875,3730,4150,TRAIN
MILANO CENTRALE,45.485188,9.202954,3758,4150,TRAIN
SARONNO,45.625316,9.030748,4144,4150,TRAIN
MILANO CADORNA,45.468359,9.175596,4145,4150,TRAIN
RESCALDINA,45.622296,8.946664,4146,4150,TRAIN
CASTELLANZA,45.613557,8.893948,4147,4150,TRAIN
BUSTO ARSIZIO FN,45.606114,8.851341,4148,4150,TRAIN
FERNO-LONATE POZZOLO,45.608521,8.755505,4149,4150,COACH
LOTTO BUS,45.47978187,9.143668722,4152,4155,COACH
FIERAMILANOCITY BUS,45.49057299,9.15193019,4153,4155,COACH
MILANO CENTRALE BUS,45.485188,9.202954,3758,4155,COACH
